product_id,product_name,inventory_date,opening_inventory_okayama,opening_inventory_saitama,opening_inventory_shizuoka,opening_inventory_osaka,opening_inventory_fukushima
UMC,うまうまカレー,2023/1/1,0,0,40000,0,60000
KMC,コクメロカレー,2023/1/1,0,0,100000,0,100000
SFC,スノーフレークカレー,2023/1/1,0,0,20000,0,10000
DKA,だからこそカレー甘口,2023/1/1,200000,460000,0,0,0
DKS,だからこそカレー辛口,2023/1/1,60000,110000,0,0,0
TBW,たぶわんカレー,2023/1/1,0,0,40000,0,10000
DON,デタドンカレー,2023/1/1,0,0,0,100000,0
DDW,ドリルダウンカレー,2023/1/1,0,0,20000,0,80000
TKY,とろ旨黒毛和牛の誘惑,2023/1/1,20000,30000,0,0,0
NMC,ニクまみれカレー,2023/1/1,0,0,150000,0,250000
HMC,ヒートマップカレー,2023/1/1,0,0,70000,0,30000
VGC,ベジタリアンカレー,2023/1/1,0,0,50000,0,150000
RHC,りんご＆ハチミツカレー,2023/1/1,300000,200000,0,0,0
RMC,ロイヤルマサラカレー,2023/1/1,0,0,0,150000,0
GSN,牛すじ煮込みカレー,2023/1/1,150000,350000,0,0,0
LWC,月夜のラムと赤ワインカレー,2023/1/1,0,0,0,300000,0
SBC,深夜のとろけるバターチキン,2023/1/1,0,0,200500,0,100500
TMK,丹波松茸カレー,2023/1/1,0,0,0,100000,0
TUH,富山湾海の宝石箱カレー,2023/1/1,0,0,20000,0,80000
NCC,恋する南国ココナッツカレー,2023/1/1,0,0,50000,0,100000
